nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
2333	Planning	6.2.f	Information security objectives and planning to achieve them	f) be updated as appropriate;		ASSET_SW_SDCTOOL_REGCHM is a Register for Changes in the ASSET_SW_SDCTOOL.		CHM	MIR				TECH	SDC		
2334	Planning	6.2.f	Information security objectives and planning to achieve them	f) be updated as appropriate;		ASSET_SW_SDCTOOL_REGCHM_RECORD exist for updating DOC_ISobjectives.		CHM					TECH	SDC		
2335	Planning	6.2.f	Information security objectives and planning to achieve them	f) be updated as appropriate;		DOC_PROFILE_TASK_ISobjupdating exist, responsible for updating DOC_ISobjectives.		CHM	MIR						ORG	
2336	Planning	6.2.f	Information security objectives and planning to achieve them	f) be updated as appropriate;		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_ISobjupdating.		CHM	MIR						ORG	
2337	Planning	6.2.g	Information security objectives and planning to achieve them	g) be available as documented information.		DOC_ISobjectives is available as documented information.		CHM	MIR							
2338	Planning	6.2.g	Information security objectives and planning to achieve them	g) be available as documented information.		DOC_PROFILE_TASK_ISobjdocument exist, responsible for making DOC_ISobjectives available as documented information.		CHM	MIR						ORG	
2339	Planning	6.2.g	Information security objectives and planning to achieve them	g) be available as documented information.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_ISobjdocument.		CHM	MIR						ORG	
2340	Planning	6.2.#2	Information security objectives and planning to achieve them	The organization shall retain documented information on the information security objectives.		DOC_ISobjectives documented information is retained.		CHM	MIR							
2341	Planning	6.2.#2	Information security objectives and planning to achieve them	The organization shall retain documented information on the information security objectives.		DOC is a class of MIC.		CHM	MIR							
2342	Planning	6.2.#2	Information security objectives and planning to achieve them	The organization shall retain documented information on the information security objectives.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2343	Planning	6.2.#2	Information security objectives and planning to achieve them	The organization shall retain documented information on the information security objectives.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2344	Planning	6.2.#2	Information security objectives and planning to achieve them	The organization shall retain documented information on the information security objectives.		DOC_PROFILE_TASK_ISobjdocumentretain exist, responsible for keeping DOC_ISobjectives available as documented information.		CHM	MIR						ORG	
2345	Planning	6.2.#2	Information security objectives and planning to achieve them	The organization shall retain documented information on the information security objectives.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_ISobjdocumentretain.		CHM	MIR						ORG	
2346	Planning	6.2.#3	Information security objectives and planning to achieve them	When planning how to achieve its information security objectives, the organization shall determine:		DOC is a class of MIC.		CHM	MIR							
2347	Planning	6.2.#3	Information security objectives and planning to achieve them	When planning how to achieve its information security objectives, the organization shall determine:		DOC_ISobjectives specify IS objectives at relevant functions and levels.		CHM	MIR							
2348	Planning	6.2.#3	Information security objectives and planning to achieve them	When planning how to achieve its information security objectives, the organization shall determine:		DOC_PROFILE_TASK_planachieveISobj exist, responsible for planning how to achieve DOC_ISobjectives.		CHM	MIR						ORG	
2349	Planning	6.2.#3	Information security objectives and planning to achieve them	When planning how to achieve its information security objectives, the organization shall determine:		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2350	Planning	6.2.#3	Information security objectives and planning to achieve them	When planning how to achieve its information security objectives, the organization shall determine:		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2351	Planning	6.2.#3	Information security objectives and planning to achieve them	When planning how to achieve its information security objectives, the organization shall determine:		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_planachieveISobj.		CHM	MIR						ORG	
2352	Planning	6.2.h	Information security objectives and planning to achieve them	h) what will be done;		DOC_ISobjectives specifies what will be done to achieve IS objectives.		CHM	MIR							
2353	Planning	6.2.i	Information security objectives and planning to achieve them	i) what resources will be required;		DOC_ISobjectives specifies what resources will be required to achieve IS objectives.		CHM	MIR							
2354	Planning	6.2.j	Information security objectives and planning to achieve them	j) who will be responsible;		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_planachieveISobj.		CHM	MIR						ORG	
2355	Planning	6.2.k	Information security objectives and planning to achieve them	k) when it will be completed; and		DOC_ISobjectives specifies when IS objectives are achieved.		CHM	MIR							
2356	Planning	6.2.l	Information security objectives and planning to achieve them	l) how the results will be evaluated.		DOC_ISobjectives specifies how results from achieving IS objectives are evaluated.		CHM	MIR							
2357	Planning	6.3	Planning of changes													
2358	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		DOC is a class of MIC.		CHM	MIR							
2359	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		DOC_ISmgtsys specifies the organization's information security management system.		CHM	MIR							
2360	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		ASSET is a class of MIC.		CHM	MIR							
2361	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
2362	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
2363	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		ASSET_SW_SDCTOOL_REGCHM is a Register for Changes in the  ASSET_SW_SDCTOOL.		CHM	MIR				TECH	SDC		
2364	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		ASSET_SW_SDCTOOL_REGCHM_RECORD exist for changing DOC_ISmgtsys in a planned manner whenever changes are needed.		CHM					TECH	SDC		
2365	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2366	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2367	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		DOC_PROFILE_TASK_changeISMS exist, responsible for managing changes to DOC_ISmgtsys.		CHM	MIR						ORG	
2368	Planning	6.3.#1	Planning of changes	When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_changeISMS.		CHM	MIR						ORG	
2369	7	7	Support													
2370	Support	7.1	Resources													
2371	Support	7.1.#1	Resources	The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.		DOC is a class of MIC.		CHM	MIR							
2372	Support	7.1.#1	Resources	The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.		DOC_ISmgtsys specifies the organization's information security management system.		CHM	MIR							
2373	Support	7.1.#1	Resources	The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2374	Support	7.1.#1	Resources	The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2375	Support	7.1.#1	Resources	The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.		DOC_PROFILE_TASK_ISMSresources exist, responsible for determining and providing the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.		CHM	MIR						ORG	
2376	Support	7.1.#1	Resources	The organization shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_ISMSresources.		CHM	MIR						ORG	
2377	Support	7.2	Competence													
2378	Support	7.2.#1	Competence	The organization shall:												
2379	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		DOC_PROFILE_TASK_determineIScompetence exist, responsible for determining the necessary competence of person(s) doing work under its control that affects its information security performance.		CHM	MIR						ORG	
2380	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_determineIScompetence.		CHM	MIR						ORG	
2381	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		ORG is a class of MIC.		CHM	MIR						ORG	
2382	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
2383	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
2384	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		DOC is a class of MIC.		CHM	MIR							
2385	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2386	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		DOC_PROFILE has a field <has competence that affects information security performance>.		CHM	MIR						ORG	
2387	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2388	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		DOC_PROFILE with field <has competence that affects information security performance> specifies the competence of the ORG_UNIT_PERSONNEL that affects its information security performance.		CHM	MIR						ORG	
2389	Support	7.2.a	Competence	a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;		DOC_PROFILE are related to ORG_UNIT_PERSONNEL, according to organizational needs.		CHM	MIR						ORG	
2390	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		DOC_PROFILE_TASK_ensureIScompetence exist, responsible for ensuring that ORG_UNIT_PERSONNEL with DOC_PROFILE with field <has competence that affects information security performance> are competent on the basis of appropriate education, training, or experience.		CHM	MIR						ORG	
2391	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_ensureIScompetence.		CHM	MIR						ORG	
2392	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		DOC_PROFILE with field <has competence that affects information security performance> specifies appropriate education, training, or experience.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		DOC_TRAINING is a Document type Training.		CHM	MIR							
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		DOC_TRAINING_SEC is a Document type Training type Security.		CHM	MIR							
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_CUSTOMER is an Organization type Customer.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_CUSTOMER_USER is an Organization type Customer type USER, that has other roles than plain User.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_PARTNER is an Organization type Partner that has field <relevant authority>, <special interest group>, <specialist security forum> and <professional association>.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_PARTNER_REP is an Organization type Partner type Representative.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_SUPPLIER is an Organization type Supplier.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_SUPPLIER_REP is an Organization type Supplier type Representative.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_PARTNER is an Organization type Partner that has field <relevant authority>, <special interest group>, <specialist security forum> and <professional association>.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		ORG_PARTNER_REP is an Organization type Partner type Representative.		CHM	MIR						ORG	
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		DOC_TRAINING_SEC is related to ORG_UNIT_PERSONNEL with field <relevant for IS> ticked and with DOC_PROFILE with field <has competence that affects information security performance>.		CHM	MIR							
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		DOC_TRAINING_SEC is related to ORG_CUSTOMER_USER with field <relevant for IS> ticked and with DOC_PROFILE with field <has competence that affects information security performance>.		CHM	MIR							
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		DOC_TRAINING_SEC is related to ORG_SUPPLIER_REP with field <relevant for IS> ticked and with DOC_PROFILE with field <has competence that affects information security performance>.		CHM	MIR							
	Support	7.2.b	Competence	b) ensure that these persons are competent on the basis of appropriate education, training, or experience;		DOC_TRAINING_SEC is related to ORG_PARTNER_REP with field <relevant for IS> ticked and with DOC_PROFILE with field <has competence that affects information security performance>.		CHM	MIR							
2393	Support	7.2.c	Competence	c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken; and		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
2394	Support	7.2.c	Competence	c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken; and		DOC_POLICY_infosec specifies which privileged access rights can be allocated with which Profiles.		CHM	MIR							
2395	Support	7.2.c	Competence	c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken; and		DOC_POLICY_infosec specifies the necessary competence for profiles that affect information securtity performance.		CHM	MIR							
2396	Support	7.2.c	Competence	c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken; and		DOC_PROFILE_TASK_acquirecIScompetence exist, responsible for taking actions to acquire the necessary competence, and to evaluate the effectiveness of the actions taken.		CHM	MIR						ORG	
2397	Support	7.2.c	Competence	c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken; and		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_acquirecIScompetence.		CHM	MIR						ORG	
2398	Support	7.2.d	Competence	d) retain appropriate documented information as evidence of competence.		DOC_ISacquiredcompetence specifies the competence acquired for all ORG_UNIT_PERSONNEL that has DOC_PROFILE has a field <has competence that affects information security performance>.		CHM	MIR							
2399	Support	7.2.d	Competence	d) retain appropriate documented information as evidence of competence.		DOC_PROFILE_TASK_documentIScompetence exist, responsible for retaining appropriate documented information as evidence of competence.		CHM	MIR						ORG	
2400	Support	7.2.d	Competence	d) retain appropriate documented information as evidence of competence.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_documentIScompetence.		CHM	MIR						ORG	
2401	Support	7.2.note	Competence	NOTE Applicable actions can include, for example: the provision of training to, the mentoring of, or the reassignment of current employees; or the hiring or contracting of competent persons.												
2402	Support	7.3	Awareness													
2403	Support	7.3.#1	Awareness	Persons doing work under the organization’s control shall be aware of:		ORG is a class of MIC.		CHM	MIR						ORG	
2404	Support	7.3.#1	Awareness	Persons doing work under the organization’s control shall be aware of:		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
2405	Support	7.3.#1	Awareness	Persons doing work under the organization’s control shall be aware of:		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR		OPS				ORG	
2406	Support	7.3.#1	Awareness	Persons doing work under the organization’s control shall be aware of:		ORG_SUPPLIER is an Organization type Supplier.	CTM	CHM	MIR						ORG	
2407	Support	7.3.#1	Awareness	Persons doing work under the organization’s control shall be aware of:		ORG_SUPPLIER_REP is an Organization type Supplier type Representative.	CTM	CHM	MIR						ORG	
2408	Support	7.3.#1	Awareness	Persons doing work under the organization’s control shall be aware of:		ORG_PARTNER is an Organization type Partner that has field <relevant authority>, <special interest group>, <specialist security forum> and <professional association>.	CTM	CHM	MIR						ORG	
2409	Support	7.3.#1	Awareness	Persons doing work under the organization’s control shall be aware of:		ORG_PARTNER_REP is an Organization type Partner type Representative.	CTM	CHM	MIR						ORG	
2410	Support	7.3.a	Awareness	a) the information security policy;		ORG_UNIT_PERSONNEL is aware of DOC_POLICY_infosec.		CHM	MIR		OPS				ORG	
2411	Support	7.3.a	Awareness	a) the information security policy;		ORG_SUPPLIER_REP doing work under the organization’s control is aware of DOC_POLICY_infosec.	CTM	CHM	MIR						ORG	
2412	Support	7.3.a	Awareness	a) the information security policy;		ORG_PARTNER_REP doing work under the organization’s control is aware of DOC_POLICY_infosec.	CTM	CHM	MIR						ORG	
2413	Support	7.3.a	Awareness	a) the information security policy;		DOC is a class of MIC.		CHM	MIR							
2414	Support	7.3.a	Awareness	a) the information security policy;		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2415	Support	7.3.a	Awareness	a) the information security policy;		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2416	Support	7.3.a	Awareness	a) the information security policy;		DOC_PROFILE_TASK_assureREPisaawareofinfosecpolicy exist, responsible for assuring that ORG_UNIT_PERSONNEL, ORG_SUPPLIER_REP, and ORG_PARTNER_REP doing work under the organization’s control is aware of DOC_POLICY_infosec.		CHM	MIR						ORG	
2417	Support	7.3.a	Awareness	a) the information security policy;		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_assureREPisaawareofinfosecpolicy.		CHM	MIR						ORG	
2418	Support	7.3.b	Awareness	b) their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance; and		ORG_UNIT_PERSONNEL is aware of their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance.		CHM	MIR		OPS				ORG	
2419	Support	7.3.b	Awareness	b) their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance; and		ORG_SUPPLIER_REP doing work under the organization’s control is aware of their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance	CTM	CHM	MIR						ORG	
2420	Support	7.3.b	Awareness	b) their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance; and		ORG_PARTNER_REP doing work under the organization’s control is aware of their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance	CTM	CHM	MIR						ORG	
2421	Support	7.3.b	Awareness	b) their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance; and		DOC_PROFILE_TASK_assureREPisaawareofISMScontribution exist, responsible for assuring that ORG_UNIT_PERSONNEL, ORG_SUPPLIER_REP, and ORG_PARTNER_REP doing work under the organization’s control is aware of DOC_POLICY_infosec.		CHM	MIR						ORG	
2422	Support	7.3.b	Awareness	b) their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance; and		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_assureREPisaawareofISMScontribution.		CHM	MIR						ORG	
2423	Support	7.3.c	Awareness	c) the implications of not conforming with the information security management system requirements.		ORG_UNIT_PERSONNEL is aware of the implications of not conforming with the information security management system requirements.		CHM	MIR		OPS				ORG	
2424	Support	7.3.c	Awareness	c) the implications of not conforming with the information security management system requirements.		ORG_SUPPLIER_REP doing work under the organization’s control is aware of the implications of not conforming with the information security management system requirements.	CTM	CHM	MIR						ORG	
2425	Support	7.3.c	Awareness	c) the implications of not conforming with the information security management system requirements.		ORG_PARTNER_REP doing work under the organization’s control is aware of the implications of not conforming with the information security management system requirements.	CTM	CHM	MIR						ORG	
2426	Support	7.3.c	Awareness	c) the implications of not conforming with the information security management system requirements.		DOC_PROFILE_TASK_assureREPisaawareofISMSimplications exist, responsible for DOC_PROFILE_TASK_assureREPisaawareofISMScontribution.		CHM	MIR						ORG	
2427	Support	7.3.c	Awareness	c) the implications of not conforming with the information security management system requirements.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_assureREPisaawareofISMScontribution.		CHM	MIR						ORG	
2428	Support	7.4	Communication													
2429	Support	7.4.#1	Communication	The organization shall determine the need for internal and external communications relevant to the information security management system including:		DOC is a class of MIC.		CHM	MIR							
2430	Support	7.4.#1	Communication	The organization shall determine the need for internal and external communications relevant to the information security management system including:		DOC_ISmgtsys specifies the organization's information security management system.		CHM	MIR							
2431	Support	7.4.#1	Communication	The organization shall determine the need for internal and external communications relevant to the information security management system including:		DOC_ISMScommunication specifies the internal and external communication relevant to the information security management system.		CHM	MIR							
2432	Support	7.4.#1	Communication	The organization shall determine the need for internal and external communications relevant to the information security management system including:		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2433	Support	7.4.#1	Communication	The organization shall determine the need for internal and external communications relevant to the information security management system including:		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2434	Support	7.4.#1	Communication	The organization shall determine the need for internal and external communications relevant to the information security management system including:		DOC_PROFILE_TASK_ISMScommunicate exist, responsible for determining the need for internal and external communications relevant to the information security management system.		CHM	MIR						ORG	
2435	Support	7.4.#1	Communication	The organization shall determine the need for internal and external communications relevant to the information security management system including:		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_assureREPisaawareofISMScontribution.		CHM	MIR						ORG	
2436	Support	7.4.a	Communication	a) on what to communicate;		DOC_ISMScommunication specifies what to communicate.		CHM	MIR							
2437	Support	7.4.b	Communication	b) when to communicate;		DOC_ISMScommunication specifies when to communicate.		CHM	MIR							
2438	Support	7.4.c	Communication	c) with whom to communicate;		DOC_ISMScommunication specifies with whom to communicate.		CHM	MIR							
2439	Support	7.4.d	Communication	d) how to communicate.		DOC_ISMScommunication specifies how to communicate.		CHM	MIR							
2440	Support	7.5	Documented information													
2441	Support	7.5.1	General													
2442	Support	7.5.1.#1	General	The organization’s information security management system shall include:		DOC is a class of MIC.		CHM	MIR							
2443	Support	7.5.1.#1	General	The organization’s information security management system shall include:		DOC_ISmgtsys specifies the organization's information security management system.		CHM	MIR							
2444	Support	7.5.1.a	General	a) documented information required by this document; and		DOC_ISmgtsys specifies documented information required by this document (ISO27001).		CHM	MIR							
2445	Support	7.5.1.a	General	a) documented information required by this document; and		DOC has a field <required by ISMS according to ISO27001>.		CHM	MIR							
2446	Support	7.5.1.b	General	b) documented information determined by the organization as being necessary for the effectiveness of the information security management system.		DOC_ISmgtsys specifies documented information determined by the organization as being necessary for the effectiveness of the information security management system.		CHM	MIR							
2447	Support	7.5.1.b	General	b) documented information determined by the organization as being necessary for the effectiveness of the information security management system.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2448	Support	7.5.1.b	General	b) documented information determined by the organization as being necessary for the effectiveness of the information security management system.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2449	Support	7.5.1.b	General	b) documented information determined by the organization as being necessary for the effectiveness of the information security management system.		DOC_PROFILE_TASK_ISMScontent exist, responsible for including documented information required by this document; and documented information determined by the organization as being necessary for the effectiveness of the information security management system.		CHM	MIR						ORG	
2450	Support	7.5.1.b	General	b) documented information determined by the organization as being necessary for the effectiveness of the information security management system.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_ISMScontent.		CHM	MIR						ORG	
2451	Support	7.5.1.note	General	NOTE The extent of documented information for an information security management system can differ from one organization to another due to:  1) the size of organization and its type of activities, processes, products and services;  2) the complexity of processes and their interactions; and  3) the competence of persons.												
2452	Support	7.5.2	Creating and updating													
2453	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC is a class of MIC.		CHM	MIR							
2454	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC has a field <required by ISMS according to ISO27001>.		CHM	MIR							
2455	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC_ROUTINE is a Document type Routine.		CHM	MIR							
2456	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC_ROUTINE_PROCESS_changemgt specifies the process Change Management, including an activity Update MIR.		CHM	MIR							
2457	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC_ROUTINE_WFL2 is a Document type ROUTINE type WFL2 for USM workflow 2, handling changes conform DOC_PROCESS_CHM.		CHM	MIR							
2458	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC_ROUTINE_WFL2_dociso27001 specifies the change to a Document that has ticked the field <equired by ISMS according to ISO27001>.		CHM	MIR							
2459	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2460	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
